Index,AA,IUPAC Name,CAS Number,Smiles,canonical_smiles,MW,formula
1,Sec,(2R)-2-amino-3-selanylpropanoic acid,10236-58-5,N[C@@H](C[SeH])C(O)=O,N[C@@H](C[SeH])C(=O)O,168.964199764,C3H7NO2Se
2,Pyl,"N6-[[(2R,3R)-3-methyl-3,4-dihydro-2H-pyrrol-2-yl]carbonyl]-L-lysine",448235-52-7,C[C@@H]1CC=N[C@H]1C(=O)NCCCC[C@H](N)C(O)=O,C[C@@H]1CC=N[C@H]1C(=O)NCCCC[C@H](N)C(=O)O,255.158291532,C12H21N3O3
3,Hyp3s,"(2S,3S)-3-hydroxypyrrolidine-2-carboxylic acid",4298-08-02,O[C@H]1CCN[C@@H]1C(O)=O,O=C(O)[C@H]1NCC[C@@H]1O,131.058243148,C5H9NO3
4,Hyp4r,"(2S,4R)-4-hydroxypyrrolidine-2-carboxylic acid",51-35-4,O[C@H]1CN[C@@H](C1)C(O)=O,O=C(O)[C@@H]1C[C@@H](O)CN1,131.058243148,C5H9NO3
5,pSer,(2S)-2-amino-3-phosphonooxypropanoic acid,407-41-0,N[C@@H](CO[P](O)(O)=O)C(O)=O,N[C@@H](COP(=O)(O)O)C(=O)O,185.008923606,C3H8NO6P
6,pThr,"(2S,3R)-2-amino-3-phosphonooxybutanoic acid",27530-80-9,C[C@@H](O[P](O)(O)=O)[C@H](N)C(O)=O,C[C@@H](OP(=O)(O)O)[C@H](N)C(=O)O,199.02457367000002,C4H10NO6P
7,Orn,"(2S)-2,5-diaminopentanoic acid",70-26-8,NCCC[C@H](N)C(O)=O,NCCC[C@H](N)C(=O)O,132.089877624,C5H12N2O2
8,Cit,(2S)-2-amino-5-(carbamoylamino)pentanoic acid,372-75-8,N[C@@H](CCCNC(N)=O)C(O)=O,NC(=O)NCCC[C@H](N)C(=O)O,175.095691276,C6H13N3O3
9,ArgSA,(2S)-2-[[N′-[(4S)-4-amino-4-carboxybutyl]carbamimidoyl]amino]butanedioic acid,2387-71-5,N[C@@H](CCCN=C(N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O,NC(=NCCC[C@H](N)C(=O)O)N[C@@H](CC(=O)O)C(=O)O,290.122634296,C10H18N4O6
10,SAM,"(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl-methylsulfonio]butanoate",29908-03-0,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,398.1372388040001,C15H22N6O5S
11,SAH,"(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl-sulfanyl]butanoate",979-92-0,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23)C([O-])=O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)[O-])[C@@H](O)[C@H]1O,383.11431228791,C14H19N6O5S-
12,3SA,(2R)-2-amino-3-hydroxy-3-oxopropane-1-sulfinate,1115-65-7,N[C@@H](C[S]([O-])=O)C(O)=O,N[C@@H](CS(=O)[O-])C(=O)O,152.00230225191,C3H6NO4S-
13,hCys/Hcy,(2S)-2-amino-4-sulfanylbutanoic acid,6027-13-0,N[C@@H](CCS)C(O)=O,N[C@@H](CCS)C(=O)O,135.035399528,C4H9NO2S
14,Tau,2-aminoethanesulfonic acid,107-35-7,NCC[S](O)(=O)=O,NCCS(=O)(=O)O,125.014664084,C2H7NO3S
15,Sar,2-(methylamino)acetic acid,107-97-1,CNCC(O)=O,CNCC(=O)O,89.047678464,C3H7NO2
16,2AA,2-aminobenzoic acid,118-92-3,Nc1ccccc1C(O)=O,Nc1ccccc1C(=O)O,137.047678464,C7H7NO2
17,Kyn,4-oxo-1H-quinoline-2-carboxylic acid,492-27-3,OC(=O)C1=CC(=O)c2ccccc2N1,O=C(O)c1cc(=O)c2ccccc2[nH]1,189.042593084,C10H7NO3
18,Aad,(2S)-2-aminohexanedioic acid,1118-90-7,N[C@@H](CCCC(O)=O)C(O)=O,N[C@@H](CCCC(=O)O)C(=O)O,161.068807832,C6H11NO4
19,hSer,(2S)-2-amino-4-hydroxybutanoic acid,672-15-1,N[C@@H](CCO)C(O)=O,N[C@@H](CCO)C(=O)O,119.058243148,C4H9NO3
20,β-Ala,3-aminopropanoic acid,107-95-9,NCCC(O)=O,NCCC(=O)O,89.047678464,C3H7NO2
21,D-Ser,(2R)-2-amino-3-hydroxypropanoic acid,312-84-5,N[C@H](CO)C(O)=O,N[C@H](CO)C(=O)O,105.042593084,C3H7NO3
22,D-Asp,(2R)-2-aminobutanedioic acid,1783-96-6,N[C@H](CC(O)=O)C(O)=O,N[C@H](CC(=O)O)C(=O)O,133.037507704,C4H7NO4
23,GABA,4-aminobutanoic acid ,56-12-2,NCCCC(O)=O,NCCCC(=O)O,103.063328528,C4H9NO2
24,DOPA,"(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid",59-92-7,N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,197.068807832,C9H11NO4
25,Abu/hAla,(2S)-2-aminobutanoic acid,1492-24-6,CC[C@H](N)C(O)=O,CC[C@H](N)C(=O)O,103.063328528,C4H9NO2
26,ADMA,(2S)-5-(diaminomethylideneamino)-2-(dimethylamino)pentanoic acid,30315-93-6,CN(C)[C@@H](CCCN=C(N)N)C(O)=O,CN(C)[C@@H](CCCN=C(N)N)C(=O)O,202.142975816,C8H18N4O2
27,Aeg,2-(2-aminoethylamino)acetic acid,24123-14-6,NCCNCC(O)=O,NCCNCC(=O)O,118.07422756,C4H10N2O2
28,Aib,2-amino-2-methylpropanoic acid,62-57-7,CC(C)(N)C(O)=O,CC(C)(N)C(=O)O,103.063328528,C4H9NO2
29,Alg,(2S)-2-aminopent-4-enoic acid,16338-48-0,N[C@@H](CC=C)C(O)=O,C=CC[C@H](N)C(=O)O,115.063328528,C5H9NO2
30,Aze,(2S)-azetidine-2-carboxylic acid,2133-34-8,OC(=O)[C@@H]1CCN1,O=C(O)[C@@H]1CCN1,101.047678464,C4H7NO2
31,Can,(2S)-2-amino-4-(diaminomethylideneamino)oxybutanoic acid,543-38-4,N[C@@H](CCON=C(N)N)C(O)=O,NC(N)=NOCC[C@H](N)C(=O)O,176.090940244,C5H12N4O3
32,Dab,"(2S)-2,4-diaminobutanoic acid",1758-80-1,NCC[C@H](N)C(O)=O,NCC[C@H](N)C(=O)O,118.07422756,C4H10N2O2
33,Dha,2-aminoprop-2-enoic acid,1948-56-7,NC(=C)C(O)=O,C=C(N)C(=O)O,87.0320284,C3H5NO2
34,hArg,(2S)-2-amino-6-(diaminomethylideneamino)hexanoic acid,156-86-5,N[C@@H](CCCCN=C(N)N)C(O)=O,NC(N)=NCCCC[C@H](N)C(=O)O,188.127325752,C7H16N4O2
35,Met(o),(2S)-2-amino-4-methylsulfinylbutanoic acid,3226-65-1,C[S](=O)CC[C@H](N)C(O)=O,CS(=O)CC[C@H](N)C(=O)O,165.045964212,C5H11NO3S
36,Nle/α-Ahx,(2S)-2-aminohexanoic acid,327-57-1,CCCC[C@H](N)C(O)=O,CCCC[C@H](N)C(=O)O,131.094628656,C6H13NO2
37,Nva/Ape,(2S)-2-aminopentanoic acid,6600-40-4,CCC[C@H](N)C(O)=O,CCC[C@H](N)C(=O)O,117.078978592,C5H11NO2
38,Pip,(2S)-piperidine-2-carboxylic acid,3105-95-1,OC(=O)[C@@H]1CCCCN1,O=C(O)[C@@H]1CCCCN1,129.078978592,C6H11NO2
39,Sem/SeMet,(2S)-2-amino-4-methylselanylbutanoic acid,3211-76-5,C[Se]CC[C@H](N)C(O)=O,C[Se]CC[C@H](N)C(=O)O,196.995499892,C5H11NO2Se
40,Tem/TeMet,(2S)-2-amino-4-methyltellanylbutanoic acid,J663.934H *,C[Te]CC[C@H](N)C(O)=O,C[Te]CC[C@H](N)C(=O)O,246.985202992,C5H11NO2Te
41,Aca,(2S)-2-amino-3-(4-aminocyclohexyl)propanoic acid ,J1.610.797B *,NC1CCC(CC1)C[C@H](N)C(O)=O,NC1CCC(C[C@H](N)C(=O)O)CC1,186.136827816,C9H18N2O2
42,ACCA,3-(aminomethyl)cyclobutane-1-carboxylic acid ,1400744-20-8,NCC1CC(C1)C(O)=O,NCC1CC(C(=O)O)C1,129.078978592,C6H11NO2
43,ε-Ahx,6-aminohexanoic acid,60-32-2,NCCCCCC(O)=O,NCCCCCC(=O)O,131.094628656,C6H13NO2
44,Ama,(2S)-2-amino-3-(4-aminomethylcyclohexyl)propanoic acid,-,NCC1CCC(CC1)C[C@H](N)C(O)=O,NCC1CCC(C[C@H](N)C(=O)O)CC1,200.15247788,C10H20N2O2
45,Amf,(2S)-2-amino-3-[4-(aminomethyl)phenyl]propanoic acid,1991-96-4,NCc1ccc(C[C@H](N)C(O)=O)cc1,NCc1ccc(C[C@H](N)C(=O)O)cc1,194.105527688,C10H14N2O2
46,Anb,5-amino-2-nitrobenzoic acid,13280-60-9,Nc1ccc(c(c1)C(O)=O)[N+]([O-])=O,Nc1ccc([N+](=O)[O-])c(C(=O)O)c1,182.032756672,C7H6N2O4
47,Cha,(2S)-2-amino-3-cyclohexylpropanoic acid,27527-05-5,N[C@@H](CC1CCCCC1)C(O)=O,N[C@@H](CC1CCCCC1)C(=O)O,171.125928784,C9H17NO2
48,Chg,(2S)-2-amino-2-cyclohexylacetic acid,14328-51-9,N[C@@H](C1CCCCC1)C(O)=O,N[C@H](C(=O)O)C1CCCCC1,157.11027872,C8H15NO2
49,Cpa,(2S)-2-amino-3-(2-cyanopyridin-4-yl)propanoic acid,169949-53-5,N[C@@H](Cc1ccnc(c1)C#N)C(O)=O,N#Cc1cc(C[C@H](N)C(=O)O)ccn1,191.069476528,C9H9N3O2
50,CycL,1-aminocyclopentane-1-carboxylic acid,52-52-8,NC1(CCCC1)C(O)=O,NC1(C(=O)O)CCCC1,129.078978592,C6H11NO2
51,DfeGly,"(2S)-2-amino-4,4-difluoro butanoic acid",J786.797B *,N[C@@H](CC(F)F)C(O)=O,N[C@@H](CC(F)F)C(=O)O,139.044484904,C4H7F2NO2
52,DFM,(2S)-2-amino-4-(difluoromethylsulfanyl)butanoic acid,J1.943.889I *,N[C@@H](CCSC(F)F)C(O)=O,N[C@@H](CCSC(F)F)C(=O)O,185.032205968,C5H9F2NO2S
53,DfpGly,"(2S)-2-amino-4,4-difluoro pentanoic acid",-,CC(F)(F)C[C@H](N)C(O)=O,CC(F)(F)C[C@H](N)C(=O)O,153.060134968,C5H9F2NO2
54,Dnp-Lys,"(2S)-2-amino-6-(2,4-dinitroanilino)hexanoic acid",14401-10-6,N[C@@H](CCCCNc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O)C(O)=O,N[C@@H](CCCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)O,312.10698423199995,C12H16N4O6
55,4F-Phe,(2S)-2-amino-3-(4-fluorophenyl)propanoic acid,51-65-0,N[C@@H](Cc1ccc(F)cc1)C(O)=O,N[C@@H](Cc1ccc(F)cc1)C(=O)O,183.06955678,C9H10FNO2
56,5F-Trp,(2S)-2-amino-3-(5-fluoro-1H-indol-3-yl)propanoic acid,16626-02-1,N[C@@H](Cc1c[nH]c2ccc(F)cc12)C(O)=O,N[C@@H](Cc1c[nH]c2ccc(F)cc12)C(=O)O,222.080455812,C11H11FN2O2
57,F(gua),(2S)-2-amino-3-[4-(diaminomethylideneamino)phenyl]propanoic acid,2776-36-5,N[C@@H](Cc1ccc(cc1)N=C(N)N)C(O)=O,NC(N)=Nc1ccc(C[C@H](N)C(=O)O)cc1,222.111675688,C10H14N4O2
58,hCha,(2S)-2-amino-4-cyclohexylbutanoic acid,116622-38-9,N[C@@H](CCC1CCCCC1)C(O)=O,N[C@@H](CCC1CCCCC1)C(=O)O,185.141578848,C10H19NO2
59,Igl,"(2S)-2-amino-2-(2,3-dihydro-1H-inden-2-yl)acetic acid",155239-51-3,N[C@@H](C1Cc2ccccc2C1)C(O)=O,N[C@H](C(=O)O)C1Cc2ccccc2C1,191.094628656,C11H13NO2
60,MfeGly,(2S)-2-amino-4-fluorobutanoic acid,J1.434.018A *,N[C@@H](CCF)C(O)=O,N[C@@H](CCF)C(=O)O,121.053906716,C4H8FNO2
61,MLeu,"methyl (2S)-2-amino-2,4-dimethylpentanoic acid",90104-02-2,CC(C)C(C)[C@](C)(N)C(O)=O,CC(C)C(C)[C@](C)(N)C(=O)O,159.125928784,C8H17NO2
62,1-Nal,(2S)-2-amino-3-naphthalen-1-ylpropanoic acid,55516-54-6,N[C@@H](Cc1cccc2ccccc12)C(O)=O,N[C@@H](Cc1cccc2ccccc12)C(=O)O,215.094628656,C13H13NO2
63,2-Nal,(2S)-2-amino-3-naphthalen-2-ylpropanoic acid,6960-34-5,N[C@@H](Cc1ccc2ccccc2c1)C(O)=O,N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,215.094628656,C13H13NO2
64,Oic,"(2S,3aS,7aR)-2,3,3a,4,5,6,7,7a-octahydro-1H-indole-2-carboxylic acid",J532.164F *,OC(=O)[C@@H]1C[C@@H]2CCCC[C@H]2N1,O=C(O)[C@@H]1C[C@@H]2CCCC[C@H]2N1,169.11027872,C9H15NO2
65,Phg,(2S)-2-amino-2-phenylacetic acid,2935-35-5,N[C@H](C(O)=O)c1ccccc1,N[C@H](C(=O)O)c1ccccc1,151.063328528,C8H9NO2
66,Phi,"(2S,3aS,7aS)-2,3,3a,4,5,6,7,7a-octahydro-1H-indole-2-carboxylic acid",80875-98-5,OC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1,O=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1,169.11027872,C9H15NO2
67,Sep,"(2S)-2-amino-3-(4H-selenopheno[3,2-b]pyrrol-6-yl)propanoic acid (selenolo[3,2-b]pyrrole)",J1.076.917E *,N[C@@H](Cc1c[nH]c2cc[se]c12)C(O)=O.[nH]3ccc4[se]ccc34,N[C@@H](Cc1c[nH]c2cc[se]c12)C(=O)O.c1cc2[se]ccc2[nH]1,428.94946932000005,C15H15N3O2Se2
68,TfeGly,"(2S)-2-amino-4,4,4-trifluorobutanoic acid",15960-05-1,N[C@@H](CC(F)(F)F)C(O)=O,N[C@@H](CC(F)(F)F)C(=O)O,157.035063092,C4H6F3NO2
69,Thfg,(2S)-2-amino-2-(oxolan-3-yl)acetic acid,J1.827.275J *,N[C@@H](C1CCOC1)C(O)=O,N[C@H](C(=O)O)C1CCOC1,145.073893212,C6H11NO3
70,Thi2,(2S)-2-amino-3-thiophen-2-ylpropanoic acid,22574-47-6/3685-51-6,N[C@@H](Cc1sccc1)C(O)=O,N[C@@H](Cc1cccs1)C(=O)O,171.035399528,C7H9NO2S
71,Thi3,(2S)-2-amino-3-thiophen-3-ylpropanoic acid,,N[C@@H](Cc1cscc1)C(O)=O,N[C@@H](Cc1ccsc1)C(=O)O,171.035399528,C7H9NO2S
72,Thp,"(4R)-1,3-thiazolidine-4-carboxylic acid ",34592-47-7 ,OC(=O)[C@@H]1CSCN1,O=C(O)[C@@H]1CSCN1,133.019749464,C4H7NO2S
73,Tic,"1,2,3,4-tetrahydroisoquinoline-3-carboxylic acid",67123-97-1,OC(=O)C1Cc2ccccc2CN1,O=C(O)C1Cc2ccccc2CN1,177.078978592,C10H11NO2
74,Tle,"(2S)-2-amino-3,3-dimethylbutanoic acid",20859-02-3,CC(C)(C)[C@H](N)C(O)=O,CC(C)(C)[C@H](N)C(=O)O,131.094628656,C6H13NO2
75,CN-Phe,(2S)-2-amino-3-(4-cyanophenyl)propanoic acid,167479-78-9,N[C@@H](Cc1ccc(cc1)C#N)C(O)=O,N#Cc1ccc(C[C@H](N)C(=O)O)cc1,190.07422756,C10H10N2O2
76,3CY,(2S)-2-amino-3-(3-chloro-4-hydroxyphenyl)propanoic acid ,7423-93-0 ,N[C@@H](Cc1ccc(O)c(Cl)c1)C(O)=O,N[C@@H](Cc1ccc(O)c(Cl)c1)C(=O)O,215.03492086,C9H10ClNO3
77,3NY,(2S)-2-amino-3-(4-hydroxy-3-nitrophenyl)propanoic acid ,621-44-3,N[C@@H](Cc1ccc(O)c(c1)[N+]([O-])=O)C(O)=O,N[C@@H](Cc1ccc(O)c([N+](=O)[O-])c1)C(=O)O,226.05897142,C9H10N2O5
78,Bpa,(2S)-2-amino-3-(4-benzoylphenyl)propanoic acid ,104504-45-2,N[C@@H](Cc1ccc(cc1)C(=O)c2ccccc2)C(O)=O,N[C@@H](Cc1ccc(C(=O)c2ccccc2)cc1)C(=O)O,269.10519334,C16H15NO3
79,Dap,"(2S)-2,3-diaminopropanoic acid ",4033-39-0,NC[C@H](N)C(O)=O,NC[C@H](N)C(=O)O,104.058577496,C3H8N2O2
80,DiZPK,(2S)-2-amino-6-[3-(3-methyldiazirin-3-yl)propylcarbamoylamino]hexanoic acid ,1337883-32-5 ,CC1(CCCNC(=O)NCCCC[C@H](N)C(O)=O)N=N1,CC1(CCCNC(=O)NCCCC[C@H](N)C(=O)O)N=N1,285.180089596,C12H23N5O3
81,Hco,(2R)-2-amino-4-(7-hydroxy-2-oxochromen-4-yl)butanoic acid,905442-42-4 ,N[C@H](CCC1=CC(=O)Oc2cc(O)ccc12)C(O)=O,N[C@H](CCc1cc(=O)oc2cc(O)ccc12)C(=O)O,263.07937251600003,C13H13NO5
82,NPY,"(2S)-2-amino-3-(4-(1-(6-nitrobenzo[d][1,3]dioxol-5-yl)ethoxy)phenyl)propanoic acid",207727-86-4,CC(Oc1ccc(C[C@H](N)C(O)=O)cc1)c2cc3OCOc3cc2[N+]([O-])=O,CC(Oc1ccc(C[C@H](N)C(=O)O)cc1)c1cc2c(cc1[N+](=O)[O-])OCO2,374.1114009159999,C18H18N2O7
83,PABK,(2S)-2-amino-6-(4-azido-benzyloxycarbonylamino)hexanoic acid ,2084913-49-3,N[C@@H](CCCCNC(=O)OCc1ccc(cc1)N=[N+]=[N-])C(O)=O,[N-]=[N+]=Nc1ccc(COC(=O)NCCCC[C@H](N)C(=O)O)cc1,321.143704088,C14H19N5O4
84,Aha,(2S)-2-amino-4-azidobutanoic acid ,120042-14-0,N[C@@H](CCN=[N+]=[N-])C(O)=O,[N-]=[N+]=NCC[C@H](N)C(=O)O,144.064725496,C4H8N4O2
85,AzF,(2S)-2-amino-3-(4-azidophenyl)propanoic acid ,33173-53-4 ,N[C@@H](Cc1ccc(cc1)N=[N+]=[N-])C(O)=O,[N-]=[N+]=Nc1ccc(C[C@H](N)C(=O)O)cc1,206.08037556,C9H10N4O2
86,Hpg,(2S)-2-aminohex-5-ynoic acid ,98841-36-2,N[C@@H](CCC#C)C(O)=O,C#CCC[C@H](N)C(=O)O,127.063328528,C6H9NO2
87,Plk,(2S)-2-amino-6-{[(prop-2-yn-1-yloxy)carbonyl]amino}hexanoic acid,1215204-46-8,N[C@@H](CCCCNC(=O)OCC#C)C(O)=O,C#CCOC(=O)NCCCC[C@H](N)C(=O)O,228.111006992,C10H16N2O4
88,Sac,(2R)-2-amino-3-prop-2-enylsulfanylpropanoic acid ,21593-77-1,N[C@@H](CSCC=C)C(O)=O,C=CCSC[C@H](N)C(=O)O,161.051049592,C6H11NO2S
